time_slots,overall_evaluation,name,semester,expected_participants,lecturers,maximum_participants,replies,line_code,minimum_participants,job_evaluation,language,ects_points,line_of_studies,programme,time_evaluation
"[{'room': '4A14', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A14, 4A58', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}, {'room': '2A54', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A54, 4A58', 'day': 'Fredag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.86,Usability and Accessibility,Forår 2012,20,"['John Paulin Hansen', 'Rune Nørager']",40,0.35,KDDK,12,5.57,Dansk,1500,cand.it. digital design og kommunikation (ddk),KDDK,3.71
"[{'room': 'Aud 1', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': 'GameLab, 2A50, 2A52', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",5.73,Web Design and Web Communication group 1,Forår 2012,60,['Sigurd Trolle Gronemann'],78,0.4342105263157895,KDDK,12,5.36,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,4.16
"[{'room': 'Aud 4', 'day': 'Torsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': 'GameLab', 'day': 'Torsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",5.23,Web Design and Web Communication group 2,Forår 2012,50,['Brian Everitt'],50,0.3333333333333333,KDDK,12,5.38,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.85
"[{'room': '4A22', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A22', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.38,Advanced Mobile and Distributed Systems Seminar,Efterår 2012,10,['Thomas Hildebrandt'],25,0.47058823529411764,KSDT,10,4.12,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,3.62
"[{'room': '2A14, 4E wing', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '2A14, 4E wing', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",3.57,Advanced Topics in Game Technology,Efterår 2012,20,"['Yun-Gyung Cheong', 'Mark Nelson', 'Julian Togelius']",30,0.3888888888888889,KGAMES,12,3.0,Engelsk,750,cand.it. spil (games),KGAMES,3.0
"[{'room': 'Aud 4', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 4', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.73,B1 Strategic and tactical tools for e-business,Efterår 2012,30,"['Rony Medaglia', 'Jonas Hedman', 'Femi Adisa']",80,0.23809523809523808,KEBUSS,20,5.12,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,3.81
"[{'room': '2A12', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A12', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.88,B19 IT-Strategy,Efterår 2012,25,"['Jonas Hedman', 'Stefan Henningsson']",50,0.3695652173913043,KEBUSS,15,4.94,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,4.12
"[{'room': '4A14', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",5.0,B31 The Internet as A Battlefield - Competing With Digital Goods and Services,Efterår 2012,35,"['Femi Adisa', 'Stefan Henningsson']",55,0.3333333333333333,KEBUSS,25,5.0,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,3.0
"[{'room': '4A14', 'day': 'Onsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A14, 4A54, 4A58', 'day': 'Onsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",4.5,Basic Graphic Design,Efterår 2012,30,['Klaus Bjerager'],30,0.20689655172413793,MIND,12,5.17,Dansk,750,Master i it Interaktionsdesign (ind),MIND,5.67
"[{'room': '4A16', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}]",5.56,Basic Graphic Design - group 2,Efterår 2012,30,['Ian Wisler-Poulsen'],30,0.6,KDDK,15,5.5,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,4.78
"[{'room': '2A54', 'day': 'Mandag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A54', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.0,Building Database Systems,Efterår 2012,45,['Philippe Bonnet'],65,0.40540540540540543,KSDT,12,4.27,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,3.87
"[{'room': '2A14', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A14', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",5.5,Business Foundations,Efterår 2012,40,['Bent Steenholt Kragelund'],60,0.22727272727272727,BGBI,12,5.2,Engelsk,750,Bachelor i global virksomhedsinformatik (bgbi),BGBI,4.5
"[{'room': 'Aud 3', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A14, 2A52', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': 'Aud 4', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A14, 4A14', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.55,Co-design - Understanding and Involving users,Efterår 2012,70,"['Jonas Waaben', 'Lene Nielsen', 'Julie Byskov Gade']",76,0.4305555555555556,BDMD,12,4.66,Engelsk,1500,Bachelor i digitale medier og design (bdmd),BDMD,3.54
