Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average;q12 replies;q12  % ;q12 average;q13 replies;q13  % ;q13 average;q14 replies;q14  % ;q14 average;q15 replies;q15  % ;q15 average;q16 replies;q16  % ;q16 average;q17 replies;q17  % ;q17 average;q18 replies;q18  % ;q18 average;q19 replies;q19  % ;q19 average
KINT;Parallelle Systemer;3 of 6;50;6.00;3 of 6;50;5.67;3 of 6;50;5.67;3 of 6;50;5.67;3 of 6;50;6.00;3 of 6;50;5.00;3 of 6;50;5.00;3 of 6;50;4.33;3 of 6;50;4.67;3 of 6;50;3.67;3 of 6;50;5.67;3 of 6;50;2.33;3 of 6;50;4.00;3 of 6;50;4.00;3 of 6;50;3.33;3 of 6;50;6.00;3 of 6;50;5.67;3 of 6;50;4.67;3 of 6;50;2.67
KMMT;Introduktion til Grafik;3 of 5;60;5.67;3 of 5;60;4.67;3 of 5;60;4.00;3 of 5;60;6.00;3 of 5;60;6.00;3 of 5;60;5.00;3 of 5;60;4.00;3 of 5;60;3.67;3 of 5;60;4.67;3 of 5;60;4.00;3 of 5;60;5.67;3 of 5;60;2.00;3 of 5;60;4.33;3 of 5;60;4.33;3 of 5;60;1.67;3 of 5;60;4.67;3 of 5;60;4.67;3 of 5;60;4.67;3 of 5;60;4.00
KMMT;Introduktion til Multimediesystemer;8 of 10;80;5.50;8 of 10;80;4.88;8 of 10;80;5.00;8 of 10;80;4.88;8 of 10;80;5.75;8 of 10;80;3.12;8 of 10;80;4.50;8 of 10;80;4.62;8 of 10;80;4.38;8 of 10;80;3.00;8 of 10;80;4.12;8 of 10;80;3.00;8 of 10;80;4.00;8 of 10;80;4.62;8 of 10;80;2.12;8 of 10;80;5.00;8 of 10;80;4.38;8 of 10;80;3.75;8 of 10;80;2.38
KMMT;Introduktion til Signalbehandling;7 of 10;70;5.57;7 of 10;70;5.29;7 of 10;70;4.71;7 of 10;70;5.14;7 of 10;70;5.86;7 of 10;70;6.00;7 of 10;70;5.43;7 of 10;70;5.43;7 of 10;70;5.29;7 of 10;70;3.43;7 of 10;70;5.71;7 of 10;70;2.57;7 of 10;70;3.86;7 of 10;70;5.71;7 of 10;70;3.14;7 of 10;70;5.29;7 of 10;70;4.00;7 of 10;70;4.86;7 of 10;70;3.57
KSWU;Databasesystemer;19 of 46;41;4.53;19 of 46;41;4.42;19 of 46;41;4.11;19 of 46;41;4.53;19 of 46;41;5.95;19 of 46;41;4.53;19 of 46;41;4.32;19 of 46;41;4.89;19 of 46;41;2.42;19 of 46;41;4.79;19 of 46;41;5.74;19 of 46;41;1.74;19 of 46;41;3.05;19 of 46;41;3.84;19 of 46;41;4.37;19 of 46;41;5.47;19 of 46;41;4.63;19 of 46;41;3.89;19 of 46;41;3.79
KSWU;Design af Brugergr&aelig;nseflader og Data;23 of 53;43;5.35;23 of 53;43;4.57;23 of 53;43;4.87;23 of 53;43;4.91;23 of 53;43;4.57;23 of 53;43;5.52;23 of 53;43;4.43;23 of 53;43;5.26;23 of 53;43;4.96;23 of 53;43;3.04;23 of 53;43;3.83;23 of 53;43;2.87;23 of 53;43;3.26;23 of 53;43;5.70;23 of 53;43;2.04;23 of 53;43;5.22;23 of 53;43;5.17;23 of 53;43;2.74;23 of 53;43;2.78
KSWU;Effektive Algoritmer og Programmer;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KSWU;Funktionsdesign og Programmering;3 of 14;21;5.00;3 of 14;21;4.33;3 of 14;21;5.33;3 of 14;21;5.67;3 of 14;21;5.33;3 of 14;21;5.00;3 of 14;21;4.00;3 of 14;21;5.00;3 of 14;21;3.67;3 of 14;21;3.33;3 of 14;21;5.67;3 of 14;21;1.67;3 of 14;21;3.00;3 of 14;21;2.67;3 of 14;21;3.33;3 of 14;21;5.00;3 of 14;21;5.00;3 of 14;21;4.33;3 of 14;21;4.67
KSWU;Grundl&aelig;ggende Programmering;56 of 106;52;5.41;56 of 106;52;5.36;56 of 106;52;4.93;56 of 106;52;5.54;56 of 106;52;5.79;56 of 106;52;5.79;56 of 106;52;4.64;56 of 106;52;5.16;56 of 106;52;4.86;56 of 106;52;3.23;56 of 106;52;4.34;56 of 106;52;2.66;56 of 106;52;3.20;56 of 106;52;5.59;56 of 106;52;1.98;56 of 106;52;5.61;56 of 106;52;4.55;56 of 106;52;4.04;56 of 106;52;3.41
KSWU;Introduktion til Algoritmer og Datastrukturer;7 of 11;63;5.43;7 of 11;63;5.00;7 of 11;63;4.43;7 of 11;63;5.43;7 of 11;63;6.00;7 of 11;63;5.29;7 of 11;63;5.00;7 of 11;63;5.14;7 of 11;63;3.71;7 of 11;63;4.57;7 of 11;63;5.71;7 of 11;63;2.00;7 of 11;63;4.00;7 of 11;63;4.57;7 of 11;63;2.29;7 of 11;63;6.00;7 of 11;63;4.57;7 of 11;63;4.00;7 of 11;63;2.71
KSWU;Objektorienteret Design og Videreg&aring;ende Programmering;9 of 19;47;5.56;9 of 19;47;5.33;9 of 19;47;5.33;9 of 19;47;5.78;9 of 19;47;5.89;9 of 19;47;5.56;9 of 19;47;4.22;9 of 19;47;5.44;9 of 19;47;5.67;9 of 19;47;2.67;9 of 19;47;4.67;9 of 19;47;2.78;9 of 19;47;3.89;9 of 19;47;2.56;9 of 19;47;4.33;9 of 19;47;6.00;9 of 19;47;5.11;9 of 19;47;2.78;9 of 19;47;2.44
KSWU;Projektledelse, SWU;8 of 15;53;5.75;8 of 15;53;5.12;8 of 15;53;5.25;8 of 15;53;4.12;8 of 15;53;6.00;8 of 15;53;5.75;8 of 15;53;4.00;8 of 15;53;5.00;8 of 15;53;5.25;8 of 15;53;2.25;8 of 15;53;4.50;8 of 15;53;3.62;8 of 15;53;4.38;8 of 15;53;5.88;8 of 15;53;2.00;8 of 15;53;5.25;8 of 15;53;5.62;8 of 15;53;4.12;8 of 15;53;3.62
KSWU;Systemudvikling og IT-st&oslash;ttet samarbejde;16 of 22;72;4.62;16 of 22;72;4.69;16 of 22;72;4.94;16 of 22;72;5.12;16 of 22;72;5.38;16 of 22;72;4.69;16 of 22;72;4.00;16 of 22;72;5.00;16 of 22;72;4.00;16 of 22;72;3.94;16 of 22;72;4.31;16 of 22;72;3.00;16 of 22;72;5.31;16 of 22;72;5.50;16 of 22;72;3.56;16 of 22;72;5.62;16 of 22;72;5.56;16 of 22;72;4.38;16 of 22;72;4.44
KTIT;Databaser;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;5.00;1 of 3;33;4.00;1 of 3;33;5.00;1 of 3;33;5.00;1 of 3;33;2.00;1 of 3;33;2.00;1 of 3;33;5.00;1 of 3;33;2.00;1 of 3;33;5.00;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;4.00
KTIT;Indledende Programmering;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;2.00;1 of 13;7;5.00;1 of 13;7;1.00;1 of 13;7;6.00;1 of 13;7;6.00;1 of 13;7;1.00;1 of 13;7;5.00;1 of 13;7;6.00;1 of 13;7;3.00;1 of 13;7;1.00
KTIT;Objektorienteret Programmering;1 of 12;8;5.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;5.00;1 of 12;8;6.00;1 of 12;8;4.00;1 of 12;8;5.00;1 of 12;8;6.00;1 of 12;8;5.00;1 of 12;8;3.00;1 of 12;8;6.00;1 of 12;8;1.00;1 of 12;8;5.00;1 of 12;8;4.00;1 of 12;8;1.00;1 of 12;8;5.00;1 of 12;8;2.00;1 of 12;8;2.00;1 of 12;8;6.00
KTIT;Systemudvikling I;1 of 12;8;6.00;1 of 12;8;5.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;1.00;1 of 12;8;6.00;1 of 12;8;1.00;1 of 12;8;6.00;1 of 12;8;6.00;1 of 12;8;2.00;1 of 12;8;5.00;1 of 12;8;5.00;1 of 12;8;3.00;1 of 12;8;3.00
KTIT;Videreg&aring;ende Systemudvikling;3 of 5;60;5.33;3 of 5;60;5.00;3 of 5;60;5.00;3 of 5;60;5.67;3 of 5;60;5.00;3 of 5;60;5.33;3 of 5;60;3.00;3 of 5;60;4.67;3 of 5;60;3.67;3 of 5;60;2.33;3 of 5;60;2.67;3 of 5;60;3.33;3 of 5;60;5.00;3 of 5;60;4.00;3 of 5;60;2.33;3 of 5;60;5.67;3 of 5;60;5.67;3 of 5;60;3.33;3 of 5;60;2.33
