Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
UL;Basic Graphic Design;4 of 24;16;5.50;4 of 24;16;5.00;4 of 24;16;5.25;4 of 24;16;5.00;4 of 24;16;2.75;4 of 24;16;2.25;4 of 24;16;5.00;4 of 24;16;4.50;4 of 24;16;5.50;4 of 24;16;3.50;4 of 24;16;3.00
UL;Basic Web Design;17 of 36;47;5.47;17 of 36;47;4.94;17 of 36;47;4.65;17 of 36;47;5.41;17 of 36;47;3.59;17 of 36;47;3.71;17 of 36;47;3.29;17 of 36;47;4.71;17 of 36;47;5.12;17 of 36;47;4.47;17 of 36;47;4.18
UL;Database Systems;9 of 16;56;5.11;9 of 16;56;5.33;9 of 16;56;5.67;9 of 16;56;4.22;9 of 16;56;3.11;9 of 16;56;4.56;9 of 16;56;3.22;9 of 16;56;4.22;9 of 16;56;5.33;9 of 16;56;3.11;9 of 16;56;2.89
UL;Distributed Systems;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UL;IS and IT Strategy;13 of 29;44;4.46;13 of 29;44;5.00;13 of 29;44;5.08;13 of 29;44;5.38;13 of 29;44;2.38;13 of 29;44;3.92;13 of 29;44;3.38;13 of 29;44;3.62;13 of 29;44;4.69;13 of 29;44;2.92;13 of 29;44;3.00
UL;IT: Platforms and Organisation;3 of 7;42;4.33;3 of 7;42;4.67;3 of 7;42;4.67;3 of 7;42;4.00;3 of 7;42;3.67;3 of 7;42;3.67;3 of 7;42;3.33;3 of 7;42;5.33;3 of 7;42;4.33;3 of 7;42;2.67;3 of 7;42;2.33
UL;Introductory Programming;12 of 37;32;5.33;12 of 37;32;5.58;12 of 37;32;4.33;12 of 37;32;4.50;12 of 37;32;3.58;12 of 37;32;4.42;12 of 37;32;2.83;12 of 37;32;3.58;12 of 37;32;5.33;12 of 37;32;2.25;12 of 37;32;2.83
UL;Java on Mobile Information Devices;15 of 42;35;5.53;15 of 42;35;4.80;15 of 42;35;5.13;15 of 42;35;6.00;15 of 42;35;2.60;15 of 42;35;3.13;15 of 42;35;4.40;15 of 42;35;3.60;15 of 42;35;5.67;15 of 42;35;3.00;15 of 42;35;2.13
UL;Læreanstalternes Fælles Projektleder- og Innovationskursus;1 of 1;100;6.00;1 of 1;100;5.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;1.00;1 of 1;100;6.00;1 of 1;100;1.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;3.00;1 of 1;100;3.00
UL;Networks and Protocols;6 of 12;50;5.33;6 of 12;50;5.67;6 of 12;50;5.00;6 of 12;50;4.50;6 of 12;50;4.50;6 of 12;50;4.33;6 of 12;50;3.83;6 of 12;50;4.50;6 of 12;50;5.67;6 of 12;50;2.17;6 of 12;50;2.83
