Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BGBI;Society and Technology;35 of 68;51;5.51;35 of 68;51;5.63;35 of 68;51;5.51;35 of 68;51;4.91;35 of 68;51;3.86;34 of 68;50;4.68
BSWU;Analysis, Design and Software Architecture;25 of 63;39;3.24;23 of 63;36;4.26;22 of 63;34;4.50;25 of 63;39;4.72;25 of 63;39;4.12;25 of 63;39;4.84
BSWU;Business Processes and Organisation;33 of 56;58;4.45;31 of 56;55;5.32;31 of 56;55;5.45;31 of 56;55;4.71;32 of 56;57;2.97;32 of 56;57;4.59
BSWU;Foundations of Computing - Discrete Mathematics;45 of 90;50;4.67;45 of 90;50;5.27;44 of 90;48;5.11;45 of 90;50;4.73;45 of 90;50;3.22;45 of 90;50;4.18
BSWU;Introduction to Database Design;26 of 63;41;4.77;23 of 63;36;5.09;24 of 63;38;5.04;26 of 63;41;4.85;26 of 63;41;2.96;26 of 63;41;4.58
BSWU;Introductory Programming;52 of 88;59;5.46;50 of 88;56;5.36;50 of 88;56;5.18;51 of 88;57;5.75;52 of 88;59;3.15;51 of 88;57;4.51
BSWU;Mobile and Distributed Systems;27 of 63;42;5.44;24 of 63;38;5.12;24 of 63;38;5.21;27 of 63;42;5.22;27 of 63;42;3.26;27 of 63;42;5.22
BSWU;Operating Systems and C;31 of 56;55;5.19;29 of 56;51;5.28;28 of 56;50;5.21;31 of 56;55;4.61;31 of 56;55;3.39;31 of 56;55;4.52
BSWU;Programs as Data;30 of 62;48;4.93;27 of 62;43;5.41;27 of 62;43;5.41;28 of 62;45;4.14;30 of 62;48;3.80;30 of 62;48;4.53
BSWU;Project Work and Communication I;35 of 52;67;4.23;35 of 52;67;4.97;35 of 52;67;4.97;35 of 52;67;4.69;35 of 52;67;3.37;35 of 52;67;4.46
BSWU;Project Work and Communication II;15 of 42;35;4.07;15 of 42;35;4.80;14 of 42;33;4.93;15 of 42;35;4.53;15 of 42;35;3.53;14 of 42;33;4.57
KDDK;Basic Graphic Design - group 2;10 of 26;38;5.20;10 of 26;38;5.90;9 of 26;34;5.89;9 of 26;34;5.44;10 of 26;38;4.70;10 of 26;38;5.10
KDDK;Basic Graphic Design - group 3;10 of 19;52;5.80;10 of 19;52;5.90;10 of 19;52;5.90;10 of 19;52;5.40;10 of 19;52;4.00;10 of 19;52;4.90
KDDK;Creative Digital Practice;4 of 19;21;5.75;4 of 19;21;5.00;4 of 19;21;5.50;4 of 19;21;5.50;3 of 19;15;3.67;4 of 19;21;6.00
KDDK;Design for Digital Communication Platforms I;42 of 80;52;5.52;40 of 80;50;5.42;39 of 80;48;5.36;41 of 80;51;5.39;40 of 80;50;4.00;39 of 80;48;5.03
KDDK;Design for Digital Communication Platforms II;39 of 75;52;4.67;38 of 75;50;4.87;36 of 75;48;5.08;39 of 75;52;5.13;39 of 75;52;3.79;38 of 75;50;4.97
KDDK;Design, Regulation, Business and Social Context;2 of 9;22;3.50;2 of 9;22;3.50;2 of 9;22;4.00;2 of 9;22;3.50;2 of 9;22;4.00;2 of 9;22;2.50
KDDK;Designing Interactive Artifacts in Action;5 of 13;38;5.80;5 of 13;38;5.40;5 of 13;38;5.00;5 of 13;38;5.00;5 of 13;38;2.20;5 of 13;38;5.20
KDDK;Digital Media and Communication I;39 of 69;56;4.67;37 of 69;53;5.16;37 of 69;53;5.14;38 of 69;55;3.97;37 of 69;53;3.92;37 of 69;53;4.95
KDDK;Digital Media and Communication II;35 of 60;58;4.20;34 of 60;56;5.12;32 of 60;53;5.06;35 of 60;58;3.77;34 of 60;56;3.71;34 of 60;56;4.44
KDDK;Environmental Networks;4 of 6;66;5.75;4 of 6;66;5.50;4 of 6;66;5.25;4 of 6;66;4.25;4 of 6;66;2.75;4 of 6;66;4.00
KDDK;Exploring Networked Culture;6 of 9;66;5.67;6 of 9;66;5.83;6 of 9;66;6.00;6 of 9;66;5.50;6 of 9;66;3.17;6 of 9;66;5.33
KDDK;Global IT;44 of 127;34;3.05;42 of 127;33;4.17;42 of 127;33;4.52;43 of 127;33;2.49;42 of 127;33;3.43;43 of 127;33;4.60
KDDK;Interaction Design I;40 of 67;59;5.17;39 of 67;58;5.31;37 of 67;55;5.38;40 of 67;59;4.72;38 of 67;56;4.71;39 of 67;58;5.18
KDDK;Interaction Design II;36 of 60;60;4.94;35 of 60;58;4.91;32 of 60;53;5.06;35 of 60;58;4.89;36 of 60;60;4.22;35 of 60;58;5.20
KDDK;Interactive Multimedia;2 of 11;18;3.50;2 of 11;18;5.50;2 of 11;18;5.50;2 of 11;18;2.00;2 of 11;18;2.50;2 of 11;18;4.00
KDDK;Introductory 3D;8 of 28;28;4.88;8 of 28;28;5.38;8 of 28;28;5.62;8 of 28;28;3.62;8 of 28;28;4.25;8 of 28;28;4.38
KDDK;Scientific Methods and IT Understanding;78 of 158;49;3.79;69 of 158;43;3.91;68 of 158;43;4.03;72 of 158;45;3.04;71 of 158;44;2.17;70 of 158;44;5.04
KDDK;Service Design;26 of 57;45;4.50;26 of 57;45;4.62;26 of 57;45;4.85;26 of 57;45;5.12;26 of 57;45;3.58;26 of 57;45;4.77
KDDK;Statistical Methods for Website Optimisation (A/B test using Google Analytics);5 of 23;21;5.20;5 of 23;21;5.40;5 of 23;21;5.00;5 of 23;21;5.00;5 of 23;21;3.80;5 of 23;21;4.60
KDIM;Business and Management Foundations;24 of 54;44;5.00;22 of 54;40;5.05;22 of 54;40;5.27;23 of 54;42;5.22;23 of 54;42;3.00;22 of 54;40;4.09
KDIM;Digital Accountability;5 of 11;45;3.60;5 of 11;45;4.60;5 of 11;45;5.80;5 of 11;45;3.40;5 of 11;45;6.00;5 of 11;45;5.40
KDIM;Digital Accountability with Project;1 of 1;100;5.00;1 of 1;100;5.00;1 of 1;100;4.00;1 of 1;100;6.00;1 of 1;100;2.00;1 of 1;100;3.00
KDIM;Digital Change Management;25 of 44;56;4.64;25 of 44;56;5.20;25 of 44;56;5.20;25 of 44;56;5.00;23 of 44;52;3.13;25 of 44;56;4.48
KDIM;Enterprise Services;1 of 8;12;5.00;1 of 8;12;5.00;1 of 8;12;5.00;1 of 8;12;6.00;1 of 8;12;1.00;1 of 8;12;3.00
KDIM;Enterprise Services with Specialisation Project;9 of 18;50;5.22;9 of 18;50;5.22;9 of 18;50;5.11;9 of 18;50;5.22;9 of 18;50;3.89;9 of 18;50;4.56
KDIM;Foundations in Development of IT;28 of 44;63;4.21;28 of 44;63;5.11;28 of 44;63;5.14;28 of 44;63;4.64;28 of 44;63;2.43;28 of 44;63;4.21
KDIM;IT-Mediated & Networked Practices;3 of 8;37;5.00;3 of 8;37;5.00;3 of 8;37;5.00;2 of 8;25;5.50;2 of 8;25;3.00;3 of 8;37;4.67
KDIM;IT-Mediated & Networked Practices with Specialisation Project;2 of 8;25;5.50;2 of 8;25;6.00;2 of 8;25;4.50;2 of 8;25;4.50;2 of 8;25;4.50;2 of 8;25;5.00
KDIM;Innovation and Technology in Society;33 of 61;54;4.70;31 of 61;50;4.81;31 of 61;50;4.94;32 of 61;52;3.84;33 of 61;54;3.52;32 of 61;52;3.94
KDIM;Innovation and Technology in Society with Project;9 of 17;52;4.56;8 of 17;47;4.12;9 of 17;52;5.00;9 of 17;52;3.78;9 of 17;52;3.56;9 of 17;52;4.11
KDIM;Navigating Complexity Mapping Visualisation and Decisionmaking;43 of 67;64;3.93;40 of 67;59;4.42;42 of 67;62;4.45;43 of 67;64;3.67;43 of 67;64;3.72;43 of 67;64;4.21
KDIM;Organizing and Managing Process Innovation;6 of 20;30;1.67;6 of 20;30;2.33;5 of 20;25;1.80;6 of 20;30;4.00;6 of 20;30;2.67;6 of 20;30;4.50
KDIM;Organizing and Managing Process Innovation with Specialisation Project;1 of 11;9;2.00;1 of 11;9;3.00;1 of 11;9;4.00;1 of 11;9;4.00;1 of 11;9;3.00;1 of 11;9;3.00
KEBUSS;B31 The Internet as A Battlefield - Competing With Digital Goods and Services;4 of 16;25;5.25;3 of 16;18;5.33;3 of 16;18;5.33;3 of 16;18;4.67;3 of 16;18;4.67;3 of 16;18;3.67
KEBUSS;SF23 Perspectives on e-business;3 of 24;12;5.33;2 of 24;8;5.00;2 of 24;8;5.00;2 of 24;8;5.00;2 of 24;8;4.00;2 of 24;8;5.00
KGAMES;Computer Games Culture;5 of 19;26;2.60;5 of 19;26;2.60;5 of 19;26;3.40;5 of 19;26;4.60;5 of 19;26;4.00;5 of 19;26;4.80
KGAMES;Experimental Interaction;7 of 20;35;3.29;7 of 20;35;3.29;7 of 20;35;3.86;7 of 20;35;3.71;7 of 20;35;3.71;7 of 20;35;5.00
KGAMES;Foundations of Play and Games;19 of 48;39;3.95;19 of 48;39;4.58;19 of 48;39;4.63;19 of 48;39;3.89;19 of 48;39;3.21;19 of 48;39;3.74
KGAMES;Game Design;29 of 70;41;5.66;29 of 70;41;5.66;29 of 70;41;5.62;29 of 70;41;5.41;29 of 70;41;4.14;28 of 70;40;5.07
KGAMES;Game Engines;8 of 34;23;3.75;7 of 34;20;2.71;8 of 34;23;3.75;8 of 34;23;4.62;8 of 34;23;2.38;8 of 34;23;5.00
KGAMES;Modern AI for Games;14 of 33;42;5.57;14 of 33;42;5.50;14 of 33;42;5.21;13 of 33;39;4.92;14 of 33;42;3.64;14 of 33;42;4.79
KGAMES;Playful Design;6 of 9;66;6.00;6 of 9;66;5.67;6 of 9;66;5.83;6 of 9;66;5.50;6 of 9;66;4.67;6 of 9;66;5.50
KGAMES;Procedural Content Generation in Games;9 of 20;45;5.33;9 of 20;45;5.00;9 of 20;45;4.89;8 of 20;40;5.00;8 of 20;40;3.25;9 of 20;45;4.22
KGAMES;Thesis Preparation - Games;20 of 56;35;2.50;19 of 56;33;3.37;18 of 56;32;3.61;19 of 56;33;2.26;19 of 56;33;2.53;20 of 56;35;4.20
KGAMES;User Experience and Prototyping;2 of 13;15;4.00;2 of 13;15;5.50;2 of 13;15;5.50;2 of 13;15;3.50;2 of 13;15;2.50;2 of 13;15;3.50
KSDT;Advanced Mobile and Distributed Systems Seminar;1 of 5;20;5.00;1 of 5;20;5.00;1 of 5;20;5.00;1 of 5;20;3.00;1 of 5;20;2.00;1 of 5;20;5.00
KSDT;Algorithm Design;22 of 70;31;5.68;22 of 70;31;5.68;21 of 70;30;5.52;22 of 70;31;5.23;22 of 70;31;3.95;22 of 70;31;5.05
KSDT;Algorithm Design Project;10 of 46;21;4.80;8 of 46;17;5.25;8 of 46;17;5.25;11 of 46;23;5.45;8 of 46;17;3.62;9 of 46;19;4.33
