Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KTIT;Interactive Systems and Project Management;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Introduction to Parallel and Distributed Computing;2 of 6;33;6.00;2 of 6;33;5.50;2 of 6;33;5.50;2 of 6;33;4.50;2 of 6;33;1.00;2 of 6;33;5.50;2 of 6;33;2.00;2 of 6;33;5.00;2 of 6;33;5.50;2 of 6;33;4.50;2 of 6;33;2.50
KTIT;Introduction to cryptography and secure communication;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Object Oriented Programming;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;5.00;1 of 3;33;5.00;1 of 3;33;4.00;1 of 3;33;5.00;1 of 3;33;4.00;1 of 3;33;5.00;1 of 3;33;6.00;1 of 3;33;4.00;1 of 3;33;4.00
KTIT;Paradigms of Programming;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Tools and Concepts in Programming;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UL;Advanced IT Project Management (net-based education);7 of 25;28;4.86;7 of 25;28;4.14;7 of 25;28;5.71;7 of 25;28;4.71;7 of 25;28;4.43;7 of 25;28;4.86;7 of 25;28;3.29;7 of 25;28;3.86;7 of 25;28;5.57;7 of 25;28;3.43;7 of 25;28;4.14
UL;Advanced Object Oriented Programmering (13:00-19:00);2 of 7;28;5.50;2 of 7;28;4.50;2 of 7;28;5.00;2 of 7;28;4.50;2 of 7;28;5.00;2 of 7;28;6.00;2 of 7;28;2.00;2 of 7;28;4.00;2 of 7;28;4.50;2 of 7;28;6.00;2 of 7;28;5.00
UL;Basic Graphic Design (net-based education);10 of 26;38;4.90;10 of 26;38;4.90;10 of 26;38;5.00;10 of 26;38;5.90;10 of 26;38;2.60;10 of 26;38;3.20;10 of 26;38;4.10;10 of 26;38;4.80;10 of 26;38;4.70;10 of 26;38;4.20;10 of 26;38;3.10
UL;Basic Web Design (16:00-21:30);5 of 21;23;4.80;5 of 21;23;4.40;5 of 21;23;5.40;5 of 21;23;4.60;5 of 21;23;5.00;5 of 21;23;3.80;5 of 21;23;3.60;5 of 21;23;3.80;5 of 21;23;5.20;5 of 21;23;4.00;5 of 21;23;2.80
