Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
UL;IT-project management;11 of 22;50;5.73;11 of 22;50;5.64;11 of 22;50;5.45;11 of 22;50;5.09;11 of 22;50;2.73;11 of 22;50;4.27;11 of 22;50;3.27;11 of 22;50;5.73;11 of 22;50;5.18;11 of 22;50;3.73;11 of 22;50;3.18
UL;IT: Platforms and Organisation;6 of 17;35;6.00;6 of 17;35;5.17;6 of 17;35;5.50;6 of 17;35;5.83;6 of 17;35;1.17;6 of 17;35;3.33;6 of 17;35;3.00;6 of 17;35;5.17;6 of 17;35;5.33;6 of 17;35;2.33;6 of 17;35;1.83
UL;Interactive 3D beginner;8 of 12;66;5.75;8 of 12;66;5.38;8 of 12;66;4.00;8 of 12;66;5.88;8 of 12;66;2.00;8 of 12;66;3.00;8 of 12;66;2.62;8 of 12;66;3.00;8 of 12;66;4.50;8 of 12;66;4.38;8 of 12;66;2.50
UL;Introductory Programming;11 of 38;28;5.09;11 of 38;28;5.36;11 of 38;28;4.82;11 of 38;28;4.55;11 of 38;28;3.64;11 of 38;28;4.64;11 of 38;28;3.18;11 of 38;28;3.55;11 of 38;28;4.45;11 of 38;28;3.64;11 of 38;28;2.82
UL;Java on Mobile Information Devices;8 of 15;53;5.50;8 of 15;53;5.38;8 of 15;53;5.00;8 of 15;53;5.88;8 of 15;53;2.88;8 of 15;53;4.25;8 of 15;53;3.88;8 of 15;53;5.00;8 of 15;53;5.50;8 of 15;53;4.50;8 of 15;53;3.38
UL;Networks and Protocols;7 of 15;46;4.43;7 of 15;46;4.29;7 of 15;46;4.00;7 of 15;46;3.29;7 of 15;46;4.43;7 of 15;46;4.00;7 of 15;46;2.43;7 of 15;46;4.29;7 of 15;46;4.29;7 of 15;46;3.00;7 of 15;46;2.43
UL;Operationel analyses of web behaviour;3 of 3;100;4.67;3 of 3;100;4.33;3 of 3;100;4.67;3 of 3;100;4.67;3 of 3;100;3.33;3 of 3;100;3.33;3 of 3;100;3.00;3 of 3;100;3.67;3 of 3;100;4.00;3 of 3;100;3.33;3 of 3;100;3.00
UL;Target group analysis;9 of 27;33;4.67;9 of 27;33;3.89;9 of 27;33;5.00;9 of 27;33;4.33;9 of 27;33;4.22;9 of 27;33;4.11;9 of 27;33;4.00;9 of 27;33;4.33;9 of 27;33;4.11;9 of 27;33;3.00;9 of 27;33;2.22
UL;Tele Information: Strategy - Creativity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UL;Tele Information: Strategy - Creativity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UL;Text communication at the Internet;9 of 19;47;4.44;9 of 19;47;4.00;9 of 19;47;4.89;9 of 19;47;5.00;9 of 19;47;2.89;9 of 19;47;2.78;9 of 19;47;4.56;9 of 19;47;3.78;9 of 19;47;5.44;9 of 19;47;2.11;9 of 19;47;2.11
UL;Usability;12 of 27;44;4.83;12 of 27;44;4.58;12 of 27;44;5.42;12 of 27;44;4.67;12 of 27;44;3.58;12 of 27;44;3.67;12 of 27;44;3.67;12 of 27;44;4.50;12 of 27;44;5.33;12 of 27;44;3.67;12 of 27;44;2.92
UL;Web Programming;14 of 36;38;5.07;14 of 36;38;4.86;14 of 36;38;5.07;14 of 36;38;4.71;14 of 36;38;3.93;14 of 36;38;4.57;14 of 36;38;2.57;14 of 36;38;4.00;14 of 36;38;4.93;14 of 36;38;3.71;14 of 36;38;4.07
